[RUN #0 5 30]
-380 79 -1000 452 -10
448 -450 422 -87 -235
-366 503 782 336 714
-452 -929 191 319 -233
-149 -67 879 54 892
920 66 -323 285 -262
540 -350 246 515 -140
-258 499 412 874 231
-279 864 -560 631 368
391 -294 862 -136 -355
-585 -128 111 36 223
495 540 -711 -581 -471
246 -44 750 -862 -359
-775 523 -347 736 249
851 794 814 -208 -871
-870 334 329 344 542
-969 202 -950 228 -450
-427 -252 195 -302 387
150 -695 245 -761 -40
-909 -369 159 967 343
694 671 -788 423 -241
267 335 -282 -550 505
401 -794 231 420 764
781 875 742 536 799
-886 -235 371 670 -36
-980 -428 -341 -40 -775
886 990 -572 689 755
-918 -771 -967 -294 -456
71 -608 -232 -482 514
-474 631 540 -642 -82
144 -922 -85 662 767
-869 -203 112 -840 979
-601 -640 -827 -139 672
289 487 624 -642 569
-185 52 -429 138 -315
517 -251 446 182 920
-27 569 -583 -36 -772
654 -809 -481 -339 -474
74 -124 985 748 339
285 171 58 -164 -386
899 762 -635 702 640
-579 -360 929 987 744
981 -377 529 822 974
722 -317 207 726 -582
681 -4 110 -949 750
746 20 -994 -264 34
44 130 -766 -336 -889
[RUN #5 5 30]
332 45 16 -296 -853
154 71 -412 545 526
-647 -32 683 898 -631
737 -310 -839 -266 -452
727 -297 296 -862 -678
-992 -641 448 -966 -503
-736 350 846 22 914
-560 323 -315 237 813
607 -514 -962 -558 564
-564 -1 896 963 -79
740 -285 -495 264 116
-671 -213 -616 -315 -252
-268 -124 -406 -755 884
-962 560 763 147 146
235 -582 -141 -160 -676
900 -815 -460 -417 259
-792 117 -180 698 -633
-676 407 -429 -25 960
-504 -706 92 -394 639
-765 -937 834 -79 119
-688 -375 -72 111 -650
127 82 884 -52 727
-164 57 816 296 -178
-542 -530 356 845 612
-815 244 623 -152 -975
372 -591 -486 -528 782
321 745 -548 50 -143
708 765 -81 -853 -393
585 748 999 392 591
-628 -375 -246 -232 226
[RUN #6 5 100]
-7 -371 -959 630 -468
67 629 -220 -308 -573
634 -414 -971 304 279
780 601 -679 866 628
458 490 -648 584 547
689 649 -202 -722 832
630 147 -164 801 312
-132 287 690 431 -231
-372 -529 -491 601 -441
578 500 -646 273 222
793 957 613 -212 -986
106 -678 -773 530 671
698 948 798 149 436
575 -262 -780 -808 -905
-489 667 -453 -864 477
778 784 -776 -157 -758
-525 -699 -265 120 285
648 929 -53 -426 -492
-471 164 53 -912 949
208 -878 -319 -444 826
270 864 844 -915 -993
-828 517 -871 476 -641
-783 531 670 -468 -162
-810 539 -930 571 91
-600 -990 -501 -811 -587
887 653 637 572 301
-651 375 -471 644 -908
-451 -955 -773 116 -75
-26 -144 -742 557 -444
882 -646 177 -230 737
147 -285 -624 -394 -602
999 21 -378 -636 -380
572 846 768 874 -547
-147 -453 -809 145 -110
-823 58 418 674 468
-49 -815 -292 -933 -82
302 741 805 -431 346
551 199 -607 665 -995
-681 -550 803 931 -902
-89 886 -732 -620 -845
-454 -887 -400 412 424
-286 104 -880 -446 185
729 -790 930 -872 196
877 476 975 -391 -214
791 -523 -800 -629 570
-311 -49 31 -136 388
171 -825 -580 616 -37
-195 838 -420 863 619
839 607 -42 347 938
87 191 -982 -726 -572
-897 -86 -955 406 924
627 -552 744 750 468
-945 -862 -186 673 -281
-392 201 -277 583 923
-751 247 -132 -181 594
302 -10 226 936 -839
97 -166 -933 -680 796
-465 -828 886 270 845
-272 937 -810 -950 486
-113 657 280 390 -440
295 542 -39 -975 -393
-375 456 -108 47 -279
484 -92 -307 599 -265
-849 -164 -326 315 -970
-353 -747 147 -396 162
495 193 887 -281 -16
-5 257 254 -316 -719
-231 123 558 -235 -882
594 109 440 793 -259
-208 45 -59 982 -445
-188 764 -72 -980 -619
-319 -288 -179 -830 -72
-711 828 -10 -677 495
-827 -820 236 96 -322
-192 -406 424 -54 204
805 -48 -446 897 -344
-948 -532 650 544 -124
-709 427 -494 -509 401
-668 -877 700 -520 888
-105 846 998 913 -268
-793 -667 858 736 880
504 746 -1 -415 -300
-656 478 -625 36 -840
82 56 -941 233 222
-852 12 -522 855 870
-385 124 -406 660 -449
276 -491 -630 -324 507
478 -389 202 96 308
805 -665 -424 -992 -771
-266 821 -110 -861 271
306 -827 -420 -868 -655
318 701 735 -979 229
-499 -665 -964 -903 -672
499 -324 -136 215 103
-478 -335 -822 -297 -83
833 -953 -549 -818 -484
380 44 669 837 999
-451 607 -214 -445 -52
255 -431 -246 -146 -768
-318 390 -644 -734 -958
[RUN #7 5 30]
-53 -826 -198 936 657
[RUN #8 5 30]
-67 919 -780 -814 -927
79 953 707 197 602
[RUN #9 5 5]
-726 981 113 461 964
286 931 -283 -71 -777
832 -479 -254 -565 -341
[RUN #10 5 5]
-129 765 913 -535 119
927 152 371 -442 -793
-539 289 29 716 -14
649 947 176 939 509
170 -853 -423 210 -4
[RUN #11 5 30]
-782 -113 -317 900 111
-548 -299 -529 813 -849
-219 995 601 -560 446
181 -509 -558 325 -775
955 -804 -775 -365 898
-877 -578 -95 841 29
523 937 564 501 -201
704 -580 -651 422 521
-937 -192 -659 -541 -982
665 877 394 -989 823
994 542 695 -456 534
217 -706 -740 492 -384
-458 238 392 -42 182
-978 510 -5 -676 -914
785 794 -890 6 -67
970 11 -439 -149 -62
-623 782 -806 365 468
-968 -774 -618 630 -762
613 -372 954 57 -21
-859 -696 98 -64 -927
302 -949 -697 748 683
-276 433 612 -664 -774
-842 357 198 734 -859
-700 -790 961 398 441
53 390 750 -260 -752
-619 256 -258 -325 954
-116 193 -19 747 -278
-19 178 680 672 -110
978 387 -516 858 -723
308 34 -139 381 285
[RUN #12 5 100]
596 -234 -758 -671 -787
-853 -655 -373 -196 616
523 226 -714 -568 79
-428 -183 -958 301 801
366 807 -17 815 743
-200 140 -682 -600 -379
786 -644 966 -605 -211
979 799 -60 294 -187
283 334 74 524 -520
-85 939 -148 189 176
-823 249 237 286 240
-486 742 -960 -689 -516
-623 794 -253 816 407
854 641 777 -335 -995
-395 -990 -86 -10 290
-273 -182 -915 899 -939
358 815 724 -636 292
-734 320 168 -274 -472
446 822 289 -809 494
285 -940 145 -314 468
561 922 -501 -670 346
-725 -69 28 -206 611
786 -298 997 -225 61
-867 -469 580 -489 616
-937 930 846 -249 -388
-580 -556 791 218 522
0 524 797 681 921
-36 659 -663 438 914
261 -213 -368 -678 739
-457 132 178 593 -317
-551 -660 -914 -269 -637
-740 880 -67 101 451
-819 209 -623 142 -847
412 115 804 -918 719
-773 258 -752 -653 232
-350 673 -38 416 81
-396 867 140 253 771
385 462 -488 59 -117
-399 -975 -640 197 -596
-783 370 748 931 738
243 -482 678 525 529
404 -151 -560 372 614
554 835 164 -682 921
-792 267 312 751 892
-793 -895 -70 653 767
142 -960 511 -713 355
-274 640 439 421 785
-564 -872 -45 774 -704
-94 590 775 -720 313
854 -335 -972 105 993
822 245 -256 97 598
-536 169 -818 730 -405
-14 -563 -813 127 -658
-339 84 -96 -839 535
-628 372 510 -112 423
652 -201 608 -511 -505
-947 598 194 -909 856
-939 478 -38 -593 -571
999 -537 213 776 631
-658 858 -470 15 554
890 532 -986 -208 828
-780 337 203 306 -214
-252 900 -841 -916 -513
656 142 -647 628 -125
612 199 -707 -387 -747
-69 630 570 913 -185
-7 -965 114 -975 803
-626 923 -770 253 759
828 553 55 -816 541
116 184 -412 -730 -485
-6 -793 -430 370 668
-199 -231 582 -598 -761
973 327 441 989 -6
-369 334 -617 -206 745
-846 753 213 -738 -667
402 28 922 -926 -319
-560 162 -159 877 767
529 446 241 634 -524
-260 84 349 781 -636
-702 -694 -653 446 173
801 447 444 -64 604
394 450 360 918 196
-491 189 -927 -148 999
18 -21 447 526 -473
-129 -916 102 997 -550
-419 -574 -753 565 -810
-846 417 668 871 -759
-703 -612 -27 146 802
869 -220 -649 -734 -368
-627 -989 -27 936 -968
105 -76 804 483 566
936 -353 -517 -697 -535
517 -841 164 510 764
810 -350 998 321 40
-920 128 293 134 911
448 757 167 -541 12
-643 -15 490 662 864
944 314 299 -229 447
943 704 624 -780 845
520 266 650 -61 335
[RUN #13 5 10]
-929 -429 789 953 -396
889 583 693 -613 539
-338 583 203 -837 977
-630 -80 -151 422 269
31 -487 -778 -765 501
-922 -1000 261 708 706
-301 -545 -131 -764 -576
-50 -749 778 -90 -791
903 -114 250 -582 -241
949 -863 -541 447 -753
[RUN #14 5 15]
-930 -33 423 318 605
653 977 -426 -417 -999
-779 539 -977 -745 -667
467 948 -969 -855 -222
-434 595 -594 519 -290
116 -809 561 -51 882
725 -654 396 -436 -899
-185 626 258 969 -450
-320 817 -483 -462 740
202 -577 -2 -501 -847
-676 507 -971 305 -742
-279 -572 -105 -555 900
-986 -300 -551 767 -430
-726 -437 673 184 273
-90 -905 -739 -631 -781
[RUN #15 5 15]
-5 -295 -878 -480 -350
-759 -545 252 687 63
78 547 -612 841 350
214 205 919 -287 749
448 -760 2 922 333
734 -423 45 -162 -960
558 -356 995 -748 233
817 -432 955 -606 -627
-945 -840 520 781 16
-654 -474 641 596 964
-3 -153 -288 -954 564
746 -891 156 -950 72
-403 309 -311 -939 884
-353 -152 -873 -525 -739
275 -311 896 -301 929
[RUN #16 5 15]
515 -769 -905 728 54
-13 84 927 -435 -440
453 853 550 912 555
497 640 -904 923 -704
425 140 -456 -362 386
-940 -351 -385 349 -683
918 101 -25 -106 327
-328 3 151 -371 -439
-348 344 -162 443 -756
-270 -948 -122 -482 -916
-684 -777 -511 210 100
-475 67 199 -223 182
-94 -278 -277 -341 -181
280 -919 138 -176 979
-244 990 -285 664 374
[RUN #17 5 15]
-484 998 -933 -763 -190
478 533 713 698 -450
-852 -220 329 97 562
-822 -871 -357 928 -842
-32 483 110 933 810
-510 389 -809 164 317
336 -923 -877 216 -820
915 -833 489 -412 981
-620 496 -849 -735 -982
-417 120 -768 -84 275
674 992 -602 312 -857
-515 -650 404 -663 -807
620 -87 700 -658 -573
-145 -54 -958 -706 134
755 -681 -303 773 230
[RUN #18 5 15]
538 -303 47 -564 -816
543 -979 494 980 617
957 -493 -251 18 336
708 313 -28 -986 889
685 465 -767 -869 160
-679 628 -955 -419 -774
-706 -623 -701 -120 131
296 964 668 351 642
-356 761 -514 -955 296
-2 939 386 999 94
444 661 939 0 -452
767 560 -835 873 -356
774 -309 909 875 -670
-234 620 -359 -815 -640
345 -140 -918 984 156
[RUN #19 5 15]
573 121 -805 456 14
-832 422 -62 -568 964
812 995 -266 153 286
756 -910 -184 -814 -885
-465 263 -591 441 854
-45 17 -603 -535 844
765 555 -176 578 618
521 203 -749 -717 422
387 -680 -689 28 18
951 -447 -846 201 134
-145 -959 -21 461 -82
165 35 654 308 450
385 -560 527 74 -474
-894 128 -297 173 94
-303 33 598 -283 -483
[RUN #20 5 15]
-393 -127 651 -782 872
31 -953 562 962 -954
-539 -728 -565 -862 546
283 -201 748 -442 -451
739 -312 611 -323 674
680 899 162 261 288
-230 -899 -520 -550 54
-630 -195 82 -561 -821
-163 94 -485 405 -450
70 171 -54 713 866
224 -772 -469 -88 24
-235 -589 -712 471 883
237 -817 -125 -610 -138
401 -781 -927 580 981
303 -493 353 -373 -731
[RUN #21 5 15]
727 -328 -394 -180 516
436 45 7 -1000 106
787 124 -215 -56 -648
-876 -253 -550 517 699
-651 -455 606 -703 340
742 -706 652 461 68
-911 965 -794 205 -962
989 177 -748 800 267
260 -857 371 429 271
298 519 -952 -785 -967
-59 115 543 -272 32
937 391 953 770 53
59 987 -660 -388 -995
-799 878 353 -40 -287
551 178 600 923 738
[RUN #22 5 15]
252 527 287 -284 157
-632 -225 -542 101 332
784 184 279 341 201
989 -967 245 358 -639
337 -983 -144 -603 -733
-454 721 -321 -651 -290
-94 -402 635 968 -792
586 -980 673 92 483
-221 -157 -505 -66 -490
-744 592 689 154 545
866 -984 217 569 490
-319 535 834 -174 -836
569 -812 69 32 -656
197 -685 982 -555 750
531 -864 148 -838 -485
